epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,3381.26,1.91485,2.31644,0.01492,0.38769,0.39995,0.24592,0.15752,1.95477,2.27479,0.01748,0.000846255,0.000846255,0.000846255
55,3442.4,1.97235,2.42417,0.01525,0.4123,0.40598,0.24972,0.15615,1.94455,2.26382,0.01779,0.000822831,0.000822831,0.000822831
56,3503.53,1.9042,2.30376,0.01473,0.38599,0.4123,0.2483,0.15104,1.96986,2.26401,0.01772,0.000799501,0.000799501,0.000799501
57,3564.64,1.89369,2.32849,0.01445,0.40409,0.41936,0.25465,0.16188,1.90308,2.20314,0.01629,0.000776286,0.000776286,0.000776286
58,3625.76,1.87617,2.25912,0.01454,0.40332,0.39203,0.25102,0.16213,1.96358,2.27115,0.01715,0.00075321,0.00075321,0.00075321
59,3687.33,1.90764,2.27071,0.01449,0.40469,0.41157,0.2529,0.16039,1.95825,2.22668,0.01751,0.000730295,0.000730295,0.000730295
60,3748.94,1.88327,2.3019,0.01502,0.41382,0.38696,0.2431,0.15728,1.90884,2.25098,0.01711,0.000707565,0.000707565,0.000707565
61,3809.85,1.87968,2.33474,0.0146,0.408,0.4072,0.24767,0.15235,1.93122,2.25261,0.01706,0.000685041,0.000685041,0.000685041
62,3870.74,1.91537,2.32985,0.01456,0.40207,0.41306,0.26449,0.17085,1.9084,2.21714,0.01708,0.000662746,0.000662746,0.000662746
63,3932.1,1.86052,2.26994,0.01409,0.37058,0.40189,0.24851,0.1641,1.90129,2.22687,0.01647,0.000640701,0.000640701,0.000640701
64,3993.41,1.85268,2.30221,0.01446,0.37864,0.41413,0.24766,0.16247,1.88639,2.2252,0.01659,0.00061893,0.00061893,0.00061893
65,4070.92,1.90192,2.32851,0.01458,0.39799,0.41339,0.24801,0.16108,1.89217,2.24637,0.0166,0.000597452,0.000597452,0.000597452
66,4149.18,1.83339,2.21284,0.01377,0.40523,0.39976,0.25179,0.16235,1.89556,2.21791,0.01683,0.000576289,0.000576289,0.000576289
67,4211.05,1.91057,2.40628,0.01501,0.37519,0.43048,0.24801,0.16444,1.86137,2.22362,0.01601,0.000555462,0.000555462,0.000555462
68,4272.37,1.80496,2.2188,0.01334,0.40631,0.41375,0.26516,0.17529,1.89189,2.25209,0.01603,0.000534993,0.000534993,0.000534993
69,4334.58,1.85922,2.29654,0.01339,0.38051,0.40781,0.24,0.15434,1.89268,2.25921,0.0161,0.0005149,0.0005149,0.0005149
70,4395.79,1.83,2.26361,0.01408,0.41454,0.40048,0.25456,0.16456,1.86359,2.24456,0.01572,0.000495203,0.000495203,0.000495203
71,4457.1,1.84178,2.27839,0.01414,0.40949,0.40557,0.2511,0.16411,1.88737,2.21222,0.01646,0.000475923,0.000475923,0.000475923
72,4518.02,1.81061,2.23832,0.01364,0.39272,0.41521,0.26158,0.1723,1.87406,2.24736,0.01635,0.000457078,0.000457078,0.000457078
73,4579.57,1.8173,2.25117,0.01409,0.37996,0.41865,0.25087,0.16218,1.84494,2.24834,0.01591,0.000438686,0.000438686,0.000438686
74,4641.15,1.80611,2.26689,0.01376,0.38487,0.4249,0.26445,0.1741,1.85477,2.2246,0.01616,0.000420767,0.000420767,0.000420767
75,4702.45,1.8612,2.30909,0.01461,0.41059,0.4249,0.25697,0.16861,1.89427,2.2304,0.01625,0.000403337,0.000403337,0.000403337
76,4763.85,1.81397,2.25838,0.01364,0.4029,0.43463,0.2656,0.17632,1.84125,2.21677,0.01591,0.000386414,0.000386414,0.000386414
77,4825.36,1.82432,2.30275,0.01377,0.40784,0.39171,0.25802,0.17038,1.84542,2.2673,0.01583,0.000370014,0.000370014,0.000370014
78,4886.8,1.82962,2.25557,0.01391,0.42086,0.41436,0.25703,0.17175,1.87382,2.2481,0.01619,0.000354154,0.000354154,0.000354154
79,4948.18,1.84166,2.27625,0.01401,0.39324,0.41288,0.26002,0.17105,1.87774,2.2261,0.01613,0.000338849,0.000338849,0.000338849
80,5018.61,1.80339,2.23346,0.0136,0.4103,0.406,0.26448,0.1795,1.86141,2.22395,0.01591,0.000324115,0.000324115,0.000324115
81,5177.07,1.84731,2.32291,0.01575,0.41819,0.41093,0.2596,0.17058,1.85696,2.22141,0.01582,0.000309966,0.000309966,0.000309966
82,5238.66,1.83314,2.28735,0.01578,0.43678,0.40567,0.27316,0.1776,1.82663,2.207,0.01547,0.000296416,0.000296416,0.000296416
83,5314.44,1.80318,2.28084,0.01552,0.41163,0.4267,0.26638,0.17458,1.81982,2.20325,0.01572,0.000283477,0.000283477,0.000283477
84,5374.84,1.80742,2.27763,0.01531,0.40779,0.43512,0.25628,0.1703,1.81147,2.20386,0.0152,0.000271164,0.000271164,0.000271164
85,5435.27,1.79931,2.26874,0.01541,0.41843,0.43048,0.2631,0.1744,1.82479,2.21378,0.01546,0.000259489,0.000259489,0.000259489
